2019-04-10 02:42:48 0.2238769531, 0.3632812500, 0.4494628906 0.0019531250, 0.0043945312, 0.0063476562 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:42:58 0.2238769531, 0.3632812500, 0.4494628906 0.0024414062, 0.0024414062, 0.0007324219 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:43:08 0.2238769531, 0.3632812500, 0.4494628906 0.0056152344, 0.0004882812, 0.0197753906 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:43:18 0.2238769531, 0.3632812500, 0.4494628906 0.0051269531, 0.0000000000, 0.0173339844 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:43:28 0.2238769531, 0.3632812500, 0.4494628906 0.0024414062, 0.0021972656, 0.0024414062 0.1535644531, 0.2722167969, 1.5563964844 
$2019-04-10 02:43:38 0.2238769531, 0.3632812500, 0.4494628906 0.0024414062, 0.0041503906, 0.0000000000 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:43:49 0.2238769531, 0.3632812500, 0.4494628906 0.0129394531, 0.0014648438, 0.0222167969 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:43:59 0.2238769531, 0.3632812500, 0.4494628906 0.0073242188, 0.0004882812, 0.0007324219 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:44:09 0.2238769531, 0.3632812500, 0.4494628906 0.0009765625, 0.0036621094, 0.0119628906 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:44:19 0.2238769531, 0.3632812500, 0.4494628906 0.0031738281, 0.0009765625, 0.0153808594 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:44:29 0.2238769531, 0.3632812500, 0.4494628906 0.0168457031, 0.0009765625, 0.0075683594 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:44:39 0.2238769531, 0.3632812500, 0.4494628906 0.0029296875, 0.0004882812, 0.0029296875 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:44:49 0.2238769531, 0.3632812500, 0.4494628906 0.0014648438, 0.0031738281, 0.0190429688 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:44:59 0.2238769531, 0.3632812500, 0.4494628906 0.0097656250, 0.0046386719, 0.0019531250 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:45:10 0.2238769531, 0.3632812500, 0.4494628906 0.0031738281, 0.0031738281, 0.0029296875 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:45:20 0.2238769531, 0.3632812500, 0.4494628906 0.0009765625, 0.0073242188, 0.0026855469 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:45:30 0.2238769531, 0.3632812500, 0.4494628906 0.0007324219, 0.0102539062, 0.0024414062 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:45:40 0.2238769531, 0.3632812500, 0.4494628906 0.0053710938, 0.0014648438, 0.0053710938 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:45:50 0.2238769531, 0.3632812500, 0.4494628906 0.0019531250, 0.0061035156, 0.0239257812 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:46:00 0.2238769531, 0.3632812500, 0.4494628906 0.0021972656, 0.0017089844, 0.0114746094 0.1535644531, 0.2722167969, 1.5563964844 
